nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Rivera,Jamie,25,184.4,63.6,H,oui,aucun,Bretagne,non,non,1826,célibataire,3.0,0.16,2022-08-04,,10000.0,
Lopez,Cassandra,59,183.5,70.6,H,non,doctorat,Auvergne-Rhône-Alpes,non,oui,2676,marié,,0.86,2021-08-31,,5000.0,
Rosales,Lisa,66,173.8,77.2,H,non,master,Corse,non,oui,3014,marié,4.0,0.17,2024-10-11,575.0,,
Wood,Debbie,31,165.0,81.9,H,oui,aucun,Normandie,oui,oui,3282,divorcé,3.0,0.43,2021-11-20,579.0,,
Lopez,Matthew,54,174.4,64.3,F,non,bac,Corse,non,non,4030,veuf,2.0,0.1,2023-07-10,448.0,850.08,40000.0
Flynn,Cynthia,23,169.1,85.3,H,non,bac,Île-de-France,oui,oui,2048,célibataire,,0.05,2021-02-17,431.0,,
Hampton,James,58,182.9,72.4,F,oui,bac+2,Corse,oui,oui,1938,,,0.17,2022-05-15,438.0,,
Padilla,Thomas,42,185.3,65.5,F,non,bac+2,Occitanie,non,non,2626,célibataire,,0.85,2021-07-01,,10000.0,
Holmes,Jeffery,49,174.0,46.8,H,oui,bac,Île-de-France,oui,non,2670,marié,,0.43,2024-04-02,688.0,10000.0,40000.0
York,Keith,73,172.3,56.3,F,non,master,Auvergne-Rhône-Alpes,oui,non,3021,divorcé,0.0,0.15,2023-09-07,603.0,5000.0,40000.0
Mccoy,Lisa,43,170.9,63.4,H,non,master,Corse,oui,non,2407,célibataire,,0.94,2020-06-04,,891.47,
Simpson,Aaron,41,171.3,75.6,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2567,divorcé,,0.01,2024-09-11,304.0,,
Estrada,Jennifer,36,153.7,67.4,F,non,aucun,Auvergne-Rhône-Alpes,non,non,2797,divorcé,5.0,0.77,2025-02-15,,5000.0,
Harper,Karen,27,176.7,78.5,H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,1139,,,0.09,2021-05-08,404.0,,
Mitchell,Victoria,44,163.9,95.5,F,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,2684,marié,,0.48,2021-09-07,,449.08,
Carroll,Jonathan,40,159.2,66.4,F,non,bac,Hauts-de-France,oui,oui,500,divorcé,3.0,0.61,2020-02-02,,5000.0,
Brown,Michael,27,176.8,65.7,F,oui,master,Île-de-France,oui,oui,2728,célibataire,,0.82,2024-03-12,389.0,,
Cooper,Michelle,65,163.6,67.5,H,oui,bac+2,Hauts-de-France,non,oui,2727,célibataire,3.0,0.33,2023-03-29,,5000.0,
Singleton,Cassandra,57,167.5,70.6,F,oui,bac,Normandie,non,non,500,,1.0,0.87,2021-09-03,,5000.0,
Miller,Pamela,72,154.2,105.7,H,oui,doctorat,Île-de-France,oui,oui,2472,marié,1.0,0.79,2023-09-15,,,
Richardson,Jasmin,26,154.7,79.1,F,oui,aucun,Bretagne,oui,oui,3962,célibataire,,0.38,2020-01-06,634.0,868.02,40000.0
Graham,Amanda,63,159.4,90.5,H,non,master,Normandie,oui,oui,4676,veuf,1.0,0.63,2023-07-08,,5000.0,
Schaefer,Brent,57,171.1,67.9,H,oui,master,Occitanie,oui,non,2615,veuf,2.0,0.63,2024-03-07,,,
Olson,Emily,25,155.6,62.8,F,non,bac,Auvergne-Rhône-Alpes,oui,oui,2275,divorcé,,0.82,2022-10-10,596.0,10000.0,40000.0
Gonzalez,Christine,75,162.4,55.8,H,oui,master,Hauts-de-France,non,oui,4169,célibataire,4.0,0.29,2025-05-02,,5000.0,
Wagner,Billy,45,172.2,68.2,F,oui,bac+2,Normandie,non,non,4388,,,0.23,2021-12-20,771.0,,
Deleon,Beverly,52,173.5,85.9,H,non,doctorat,Normandie,oui,oui,3016,divorcé,4.0,0.49,2020-11-22,,10000.0,
Casey,Michelle,24,165.4,82.4,H,non,aucun,Occitanie,oui,non,1759,veuf,,0.7,2024-12-19,728.0,1048.79,40000.0
Gomez,Michael,69,180.9,75.3,H,oui,aucun,Normandie,oui,non,2119,célibataire,3.0,0.39,2021-02-20,543.0,882.61,40000.0
Smith,Luke,46,183.6,68.9,F,oui,bac,Corse,oui,oui,2265,,,0.53,2023-11-24,,10000.0,
Perez,Christopher,50,163.9,64.0,H,oui,bac,Auvergne-Rhône-Alpes,oui,non,2565,,,0.84,2020-06-11,,,
Stanley,Darrell,55,158.1,61.1,H,oui,master,Normandie,oui,oui,1869,célibataire,1.0,0.58,2022-11-26,,5000.0,
Meyer,Lisa,31,162.0,68.3,F,oui,master,Auvergne-Rhône-Alpes,oui,non,1533,divorcé,,0.56,2022-10-20,463.0,10000.0,40000.0
Thomas,James,68,183.2,76.1,H,oui,master,Auvergne-Rhône-Alpes,non,oui,1936,veuf,5.0,0.83,2022-01-25,420.0,10000.0,40000.0
Gamble,Timothy,29,178.3,80.1,H,non,doctorat,Bretagne,non,non,2945,célibataire,2.0,0.22,2022-03-15,470.0,5000.0,40000.0
Allen,Courtney,37,153.8,73.7,F,non,aucun,Hauts-de-France,oui,oui,1811,divorcé,5.0,0.66,2021-04-07,459.0,1176.45,40000.0
Warren,Steven,55,167.7,84.9,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,non,2233,divorcé,1.0,0.68,2023-10-24,580.0,325.7,40000.0
Carrillo,Manuel,40,150.8,65.4,F,non,bac,Corse,oui,non,4430,célibataire,0.0,0.67,2021-10-15,530.0,816.33,40000.0
Franklin,Catherine,36,168.5,70.3,H,oui,bac,Bretagne,oui,non,3543,veuf,,0.71,2022-05-22,,10000.0,
Werner,Stephanie,52,164.7,91.7,H,non,bac,Normandie,oui,non,2585,célibataire,,0.09,2023-11-05,,,
Spencer,Patrick,20,156.2,60.9,F,oui,bac,Auvergne-Rhône-Alpes,non,non,2889,veuf,,0.66,2022-06-09,517.0,,
Bradley,Jeremy,46,183.4,70.8,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,4001,célibataire,1.0,0.03,2024-04-03,422.0,5000.0,40000.0
Weber,Yvette,18,171.5,72.0,H,oui,master,Corse,oui,oui,2239,célibataire,,0.39,2024-06-11,,10000.0,
Williamson,Kathryn,36,180.7,74.9,H,oui,bac,Normandie,oui,oui,1473,divorcé,2.0,0.32,2025-04-01,,10000.0,
Harding,Albert,61,157.3,61.8,F,oui,doctorat,Île-de-France,non,oui,500,veuf,,0.56,2023-06-25,324.0,10000.0,40000.0
Kelly,Melissa,55,184.1,64.6,F,non,master,Occitanie,oui,oui,2527,célibataire,1.0,0.49,2022-10-24,,5000.0,
Gallegos,Matthew,71,171.4,70.8,H,non,master,Normandie,non,non,2718,veuf,,0.8,2024-03-31,,5000.0,
Edwards,Zachary,73,161.7,31.7,F,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,3234,célibataire,3.0,0.6,2020-03-08,815.0,,
Rojas,Amanda,56,181.7,48.9,H,non,aucun,Normandie,oui,oui,1179,,4.0,0.99,2020-02-28,674.0,10000.0,40000.0
Hoover,Veronica,50,155.6,83.9,H,oui,master,Île-de-France,oui,oui,1439,divorcé,,0.82,2022-03-31,,,
Garner,Brian,36,174.3,55.3,F,oui,bac+2,Corse,oui,non,3855,,,0.81,2021-09-04,,737.05,
Perry,Amber,44,162.1,96.1,H,oui,aucun,Hauts-de-France,non,oui,1530,marié,,0.73,2023-04-03,,10000.0,
Morgan,Mary,46,171.7,81.4,F,non,doctorat,Normandie,non,non,2200,marié,3.0,0.96,2023-06-13,,,
Jimenez,Madison,71,179.4,71.7,F,non,bac,Occitanie,oui,oui,2830,célibataire,0.0,0.34,2022-08-26,,,
Perez,Bryan,44,155.9,82.7,F,non,aucun,Normandie,non,oui,3166,célibataire,1.0,0.01,2023-10-19,,,
Garza,Taylor,74,167.3,73.3,H,oui,doctorat,Normandie,oui,non,3059,,0.0,0.36,2020-12-29,805.0,10000.0,40000.0
Willis,David,54,179.4,89.8,H,non,bac+2,Provence-Alpes-Côte d’Azur,oui,non,1768,veuf,,0.08,2024-10-21,,10000.0,
Wood,Stephen,28,189.0,74.7,F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,678,divorcé,2.0,0.16,2021-03-24,,1076.76,
Lee,Stephen,68,185.0,75.6,F,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,2476,veuf,2.0,0.57,2020-08-15,791.0,,
Medina,Tammy,47,158.3,91.3,F,non,master,Normandie,non,oui,2649,veuf,0.0,0.83,2022-07-12,,5000.0,
Lin,Latoya,68,172.9,75.9,H,non,bac+2,Hauts-de-France,non,non,4169,,,0.17,2020-08-15,,661.99,
Baker,Sherry,57,172.5,48.6,F,non,doctorat,Normandie,oui,oui,2831,marié,,0.27,2021-12-16,,974.27,
Johnson,Justin,47,162.1,80.5,H,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,580,célibataire,1.0,0.9,2024-08-03,,,
Moore,Nathaniel,50,180.6,72.3,H,non,master,Normandie,non,oui,3153,célibataire,2.0,0.84,2023-12-27,,,
Simmons,Timothy,46,161.3,61.4,H,non,aucun,Corse,non,oui,2925,marié,5.0,0.56,2021-10-20,727.0,,
Hill,Michelle,58,169.3,59.1,H,non,bac,Bretagne,oui,oui,2364,veuf,4.0,0.69,2024-07-07,,10000.0,
Mccoy,Erica,24,172.1,79.4,F,oui,master,Corse,non,oui,2996,veuf,3.0,0.48,2023-02-10,,10000.0,
Scott,Patrick,22,178.9,69.5,F,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,2431,,5.0,0.82,2023-06-26,395.0,10000.0,40000.0
Snyder,Kimberly,18,182.6,52.8,H,oui,aucun,Bretagne,non,non,1578,,4.0,0.03,2024-05-16,,,
Jenkins,Jennifer,20,160.6,88.9,F,non,bac,Occitanie,oui,non,2866,divorcé,2.0,0.7,2024-09-06,697.0,,
Thompson,Amanda,24,166.4,69.3,F,non,doctorat,Auvergne-Rhône-Alpes,non,non,1966,veuf,,0.1,2023-01-06,617.0,,
Baker,Miguel,38,184.6,73.3,F,oui,aucun,Hauts-de-France,non,oui,2216,célibataire,2.0,0.05,2022-12-19,816.0,10000.0,40000.0
Ware,Hannah,22,159.7,61.8,H,non,bac+2,Hauts-de-France,oui,oui,1832,marié,4.0,0.11,2022-02-23,,,
Walsh,Robert,56,179.5,72.5,F,oui,bac+2,Normandie,non,non,4398,veuf,4.0,0.15,2021-02-02,365.0,329.29,40000.0
Lee,Benjamin,46,172.1,45.0,F,oui,aucun,Île-de-France,non,oui,2319,veuf,2.0,0.82,2021-06-05,,,
Davis,Kathryn,33,164.0,39.7,H,oui,aucun,Bretagne,oui,non,4007,célibataire,3.0,0.46,2023-07-04,,10000.0,
Black,Anthony,21,156.6,69.8,F,oui,aucun,Bretagne,non,non,2737,divorcé,,0.05,2022-05-09,,672.62,
Murray,Pamela,35,155.2,57.5,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,1938,,3.0,0.64,2022-05-08,621.0,5000.0,40000.0
Manning,Eric,31,167.9,78.6,F,non,master,Corse,oui,oui,1929,divorcé,3.0,0.09,2022-12-11,440.0,5000.0,40000.0
Clark,Mary,46,164.8,79.1,F,non,master,Provence-Alpes-Côte d’Azur,oui,oui,895,,4.0,0.93,2024-06-29,,1117.21,
Huff,Danielle,36,190.3,47.2,H,oui,master,Occitanie,non,oui,958,célibataire,,0.69,2025-05-04,,5000.0,
Gibson,John,52,161.2,68.0,F,non,aucun,Bretagne,oui,oui,3608,célibataire,,0.35,2022-02-10,807.0,1604.82,40000.0
Gilbert,Lori,48,165.4,90.0,H,oui,aucun,Normandie,non,non,992,célibataire,,0.78,2021-11-30,,10000.0,
Sanchez,Robert,50,169.1,44.4,H,oui,bac+2,Occitanie,oui,oui,500,divorcé,0.0,0.49,2022-04-29,,5000.0,
Norman,Angela,73,177.9,55.5,H,non,doctorat,Corse,non,non,3938,divorcé,,0.13,2022-01-03,,612.63,
Woods,Kathleen,52,161.9,76.1,H,non,master,Bretagne,oui,oui,1721,célibataire,,0.12,2025-05-12,,919.64,
Nelson,Andrew,71,159.8,78.1,F,oui,bac,Bretagne,non,oui,2257,célibataire,,0.89,2022-04-20,,5000.0,
Kim,Kenneth,41,157.5,97.9,F,non,master,Occitanie,non,oui,3293,célibataire,,0.91,2022-07-27,,10000.0,
Lawson,Noah,71,157.3,55.4,F,non,doctorat,Bretagne,oui,oui,2874,célibataire,,0.73,2024-01-21,753.0,704.04,40000.0
Ward,James,45,167.4,67.0,F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,1070,célibataire,3.0,0.7,2020-07-31,,1133.91,
Barber,Stacey,31,174.1,57.8,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,500,,1.0,0.11,2022-07-09,,868.98,
Smith,Mark,47,167.2,65.6,H,non,doctorat,Île-de-France,oui,oui,2747,divorcé,,0.53,2022-03-11,364.0,,
Huang,James,26,171.8,74.1,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,2995,,,0.49,2022-08-18,,,
Arnold,Kim,39,161.7,83.9,F,non,master,Provence-Alpes-Côte d’Azur,oui,oui,2117,célibataire,,0.4,2024-11-20,,5000.0,
Green,Nicholas,18,176.9,83.5,F,oui,bac,Auvergne-Rhône-Alpes,oui,non,1633,célibataire,,0.16,2020-09-11,378.0,943.26,40000.0
Singh,Jay,64,171.7,82.5,F,oui,doctorat,Île-de-France,oui,non,2022,,,0.83,2025-03-12,563.0,5000.0,40000.0
Johnson,Scott,37,169.2,73.3,F,non,bac+2,Corse,oui,oui,2875,veuf,5.0,0.67,2023-07-06,,767.5,
Haley,Lisa,28,167.9,86.8,H,non,master,Hauts-de-France,non,oui,4066,célibataire,,0.67,2025-04-29,,10000.0,
Taylor,Sarah,26,161.6,100.5,F,oui,doctorat,Île-de-France,non,non,2972,veuf,,0.54,2020-01-08,640.0,10000.0,40000.0
Henson,Todd,73,171.0,70.0,F,non,doctorat,Auvergne-Rhône-Alpes,non,oui,2015,,4.0,0.81,2020-11-20,,10000.0,
Kirby,Kelly,60,179.2,68.4,H,non,master,Bretagne,non,non,500,,0.0,0.03,2024-04-12,,5000.0,
Davis,Olivia,53,169.5,67.9,H,oui,aucun,Normandie,non,oui,916,divorcé,,0.89,2021-05-15,367.0,5000.0,40000.0
Parker,Richard,66,170.6,69.9,H,non,doctorat,Hauts-de-France,oui,oui,3269,célibataire,,0.68,2022-07-10,,10000.0,
Hill,David,73,169.8,69.8,H,non,aucun,Normandie,oui,non,875,célibataire,,0.52,2020-10-15,,,
White,Robert,19,159.1,76.8,F,oui,bac,Normandie,non,non,1792,,,0.31,2021-09-03,584.0,5000.0,40000.0
Woods,Brent,56,188.3,83.1,H,oui,bac+2,Bretagne,non,oui,2570,,4.0,0.14,2023-06-22,399.0,1097.58,40000.0
Long,Michael,61,155.6,46.3,H,oui,bac+2,Provence-Alpes-Côte d’Azur,non,non,3723,célibataire,2.0,0.58,2020-04-09,,,
Young,Jerry,45,170.4,59.4,H,non,aucun,Provence-Alpes-Côte d’Azur,non,oui,3881,célibataire,1.0,0.34,2022-03-23,,683.2,
Lopez,Evelyn,43,178.9,83.5,H,oui,bac+2,Corse,oui,oui,3042,,,0.35,2021-07-10,362.0,,
Shaw,Cory,39,145.3,64.4,H,non,aucun,Occitanie,non,oui,500,,,0.14,2024-02-18,,,
Fry,Brett,54,176.5,65.2,F,non,doctorat,Occitanie,non,oui,2016,,,0.78,2024-01-25,,5000.0,
Turner,Tracy,57,165.0,83.0,F,non,bac+2,Corse,oui,oui,2281,célibataire,0.0,0.48,2021-05-23,,782.41,
Hammond,Ryan,42,173.9,65.1,F,non,bac+2,Occitanie,oui,oui,4611,divorcé,,0.3,2023-02-25,590.0,397.07,40000.0
Montgomery,Kimberly,59,179.4,64.5,F,oui,master,Provence-Alpes-Côte d’Azur,non,oui,2487,marié,4.0,0.71,2022-04-14,,10000.0,
Wright,Rebecca,36,177.0,70.4,F,oui,aucun,Occitanie,oui,non,3304,célibataire,5.0,0.05,2020-12-08,633.0,10000.0,40000.0
Schmitt,James,60,176.9,62.6,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,non,1605,veuf,,0.94,2022-06-22,349.0,,
Torres,Shannon,48,164.1,79.0,H,oui,aucun,Bretagne,non,non,2492,marié,5.0,0.88,2024-07-27,525.0,5000.0,40000.0
Stewart,Adrienne,60,161.1,93.5,H,oui,aucun,Bretagne,oui,non,1411,divorcé,0.0,0.5,2024-06-22,,739.87,
Novak,Amy,63,176.0,90.1,F,oui,bac+2,Hauts-de-France,non,oui,2637,célibataire,,0.44,2020-11-24,,954.76,
Daugherty,Steven,67,164.8,86.9,H,non,bac+2,Hauts-de-France,oui,oui,500,veuf,,0.02,2024-02-25,300.0,,
Cooper,Marcia,51,162.1,69.8,H,non,aucun,Occitanie,oui,oui,2626,célibataire,,0.71,2020-05-08,572.0,656.01,40000.0
Brooks,Gloria,67,160.9,52.9,F,oui,master,Hauts-de-France,non,non,1961,divorcé,,0.25,2021-10-10,,5000.0,
Johnson,Dennis,62,179.3,70.6,F,non,doctorat,Corse,oui,oui,2588,,0.0,0.14,2023-10-29,,373.73,
Shaw,Nicole,32,167.6,52.5,H,non,bac,Bretagne,non,non,583,célibataire,5.0,0.16,2022-05-20,,493.71,
Lee,Dylan,54,170.4,50.1,F,oui,doctorat,Provence-Alpes-Côte d’Azur,non,non,3059,divorcé,,0.15,2024-03-25,473.0,,
Buck,Shawn,34,163.4,61.8,H,oui,aucun,Auvergne-Rhône-Alpes,oui,non,3434,veuf,0.0,0.14,2020-11-26,,1045.19,
Cruz,Blake,34,175.6,56.2,H,oui,aucun,Hauts-de-France,oui,oui,3775,,5.0,0.88,2021-07-24,,5000.0,
Daniel,Charles,50,176.3,91.7,F,non,doctorat,Normandie,oui,oui,4355,marié,,0.19,2020-12-21,766.0,5000.0,40000.0
Burch,Laura,51,159.8,49.0,H,oui,bac,Occitanie,non,non,3286,divorcé,0.0,0.47,2024-10-07,,5000.0,
Jones,Adriana,42,165.1,50.1,H,non,bac+2,Bretagne,oui,non,2346,veuf,1.0,0.61,2020-06-11,,,
Contreras,Tony,70,159.4,65.9,H,non,aucun,Provence-Alpes-Côte d’Azur,oui,oui,2856,,4.0,0.08,2020-06-18,,,
Shaw,Jeffrey,51,182.3,86.3,F,non,aucun,Bretagne,oui,non,1740,marié,1.0,0.54,2022-09-05,460.0,5000.0,40000.0
Williams,Christopher,41,172.7,61.7,F,non,bac+2,Auvergne-Rhône-Alpes,non,non,3368,célibataire,3.0,0.94,2022-07-15,,5000.0,
Rojas,Kelly,69,153.4,75.0,F,oui,master,Île-de-France,oui,oui,4651,veuf,1.0,0.97,2021-04-29,537.0,5000.0,40000.0
May,Alicia,43,166.6,73.6,F,non,aucun,Provence-Alpes-Côte d’Azur,non,non,3535,veuf,5.0,0.02,2021-07-30,761.0,772.33,40000.0
Hansen,Hunter,31,178.3,67.5,F,non,master,Occitanie,non,non,3173,célibataire,,0.75,2024-12-19,493.0,10000.0,40000.0
Mckenzie,April,45,166.7,70.8,F,oui,master,Bretagne,oui,non,3458,veuf,4.0,0.09,2022-03-03,,,
Butler,Judith,42,183.5,75.9,H,oui,bac,Île-de-France,non,oui,3637,divorcé,1.0,0.41,2023-04-22,,,
Sharp,Victor,29,158.0,61.5,F,non,aucun,Provence-Alpes-Côte d’Azur,non,oui,3171,célibataire,,0.67,2020-08-17,,,
Walker,Christopher,20,144.7,76.9,H,non,aucun,Hauts-de-France,non,oui,998,veuf,,0.37,2022-10-14,315.0,618.36,40000.0
Rogers,Peter,44,184.0,99.8,H,oui,bac,Hauts-de-France,non,oui,2469,,4.0,0.71,2024-05-17,,5000.0,
Ward,Charles,64,186.1,89.6,H,oui,bac+2,Hauts-de-France,oui,non,1321,célibataire,3.0,0.53,2023-10-24,668.0,,
Skinner,Donna,58,173.3,88.2,H,oui,bac,Corse,oui,non,2538,marié,,0.45,2022-09-03,,,
Young,Michael,55,160.2,64.5,H,non,bac,Normandie,non,oui,757,veuf,,0.78,2021-01-01,564.0,837.56,40000.0
Rich,Jacob,45,163.8,70.5,H,non,bac+2,Hauts-de-France,oui,non,1613,célibataire,,0.87,2023-02-10,,10000.0,
Fisher,Benjamin,28,175.4,59.8,F,oui,aucun,Bretagne,oui,non,1955,célibataire,,0.32,2020-09-24,,,
Cortez,Adam,69,159.6,68.5,H,non,bac,Occitanie,non,oui,3390,célibataire,,0.85,2023-02-14,,755.47,
Gibson,Maurice,59,175.2,90.7,F,oui,master,Île-de-France,oui,oui,3651,célibataire,,0.25,2021-04-24,718.0,,
Grimes,Brianna,73,172.9,76.6,F,non,bac,Corse,non,oui,3195,divorcé,,0.33,2022-08-28,438.0,5000.0,40000.0
Mcdowell,Daniel,46,166.5,76.7,F,non,aucun,Île-de-France,non,oui,2679,veuf,2.0,0.2,2025-02-20,,10000.0,
Lewis,John,22,160.6,60.8,H,non,aucun,Île-de-France,non,oui,2851,,0.0,0.18,2021-12-29,560.0,,
Nichols,Lisa,51,177.8,59.9,H,non,master,Normandie,oui,oui,2310,célibataire,5.0,0.15,2022-02-09,663.0,,
Gonzales,Rachel,39,152.9,96.6,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,1275,célibataire,,0.71,2021-06-29,704.0,,
Smith,Julia,66,161.8,76.9,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,1426,,,0.62,2023-07-31,,5000.0,
Smith,Allison,36,171.8,74.5,F,oui,aucun,Occitanie,oui,non,2776,,2.0,0.85,2020-07-28,567.0,,
Stanley,David,62,162.2,64.4,F,oui,bac,Île-de-France,oui,oui,1781,,0.0,0.99,2024-01-02,677.0,339.23,40000.0
Padilla,Tyler,44,166.9,44.2,H,oui,bac+2,Hauts-de-France,non,oui,3386,veuf,2.0,0.72,2023-05-10,491.0,5000.0,40000.0
Anderson,Cesar,61,165.7,79.1,F,oui,bac+2,Hauts-de-France,non,oui,3209,,,0.47,2023-03-11,497.0,833.85,40000.0
Jenkins,Tammy,35,173.6,26.6,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,3003,marié,1.0,0.06,2020-04-14,477.0,,
Warner,John,71,167.5,61.3,F,oui,master,Corse,non,oui,3320,veuf,,0.14,2024-10-31,453.0,468.66,40000.0
Ferguson,Kari,62,150.0,88.1,F,oui,master,Auvergne-Rhône-Alpes,oui,oui,2557,veuf,,0.94,2025-01-13,,,
Lloyd,Ana,66,169.5,59.7,F,non,bac,Hauts-de-France,non,oui,3444,divorcé,,0.93,2020-05-02,,5000.0,
Allen,Brian,19,163.5,54.0,H,oui,master,Corse,oui,oui,1981,divorcé,4.0,0.77,2021-01-03,,5000.0,
White,Ashley,73,157.4,73.7,F,non,master,Provence-Alpes-Côte d’Azur,oui,oui,682,célibataire,5.0,0.09,2023-03-26,,,
Kane,Melissa,19,168.0,89.4,H,oui,master,Auvergne-Rhône-Alpes,non,non,2036,veuf,0.0,0.67,2022-10-29,421.0,10000.0,40000.0
Patterson,Alex,32,155.7,54.4,H,oui,bac,Occitanie,oui,oui,1985,,,0.42,2025-01-07,,849.65,
Dean,Javier,39,158.3,84.3,H,non,bac+2,Île-de-France,non,oui,1803,divorcé,,0.71,2022-07-21,,10000.0,
Gutierrez,Richard,40,165.3,52.6,H,oui,bac,Hauts-de-France,non,non,500,divorcé,,0.71,2021-07-13,499.0,10000.0,40000.0
Hunt,Bryan,45,160.0,65.4,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,1175,veuf,,0.55,2021-04-10,375.0,,
Shepherd,Heather,74,169.5,65.4,H,non,bac,Hauts-de-France,non,oui,2332,célibataire,1.0,0.31,2022-08-22,,,
Gutierrez,Caleb,32,181.3,74.4,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,2160,célibataire,4.0,0.74,2024-03-09,,1703.62,
Suarez,Tina,70,156.0,85.5,F,oui,bac,Corse,non,oui,687,célibataire,,0.43,2024-01-31,,786.53,
Lyons,Victor,60,169.2,63.3,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,2962,célibataire,,0.22,2022-07-15,538.0,,
Burton,Jeffrey,32,177.1,87.8,F,non,doctorat,Hauts-de-France,oui,non,4677,,,0.55,2021-03-02,,5000.0,
Hodges,Gordon,46,172.8,47.0,H,non,master,Auvergne-Rhône-Alpes,oui,non,2188,,4.0,0.13,2024-02-03,369.0,5000.0,40000.0
Wolfe,Scott,55,167.4,66.6,F,non,bac,Auvergne-Rhône-Alpes,oui,oui,821,célibataire,4.0,0.96,2020-12-02,395.0,10000.0,40000.0
Hernandez,Lee,30,162.5,81.1,H,oui,bac,Provence-Alpes-Côte d’Azur,non,non,1019,,,0.85,2023-01-19,686.0,10000.0,40000.0
Bautista,Adam,75,168.3,44.3,H,oui,aucun,Île-de-France,non,non,2412,veuf,,0.56,2024-03-27,,,
Lin,Paul,48,159.8,77.6,H,oui,bac,Occitanie,non,oui,1733,divorcé,5.0,0.84,2024-07-15,,5000.0,
Payne,Brian,41,189.9,68.8,H,non,aucun,Provence-Alpes-Côte d’Azur,non,oui,3634,,,0.01,2021-12-22,,5000.0,
Jones,Tina,33,168.6,71.2,H,non,master,Île-de-France,non,oui,1286,célibataire,3.0,0.41,2021-06-22,367.0,5000.0,40000.0
Williamson,Leonard,29,173.8,88.8,F,non,aucun,Corse,oui,oui,2185,divorcé,5.0,0.14,2022-03-17,,488.32,
Shepard,Randy,39,174.8,82.4,H,oui,aucun,Bretagne,non,non,1274,marié,4.0,0.7,2022-03-02,592.0,,
Miranda,Sheila,55,169.1,67.0,F,non,master,Bretagne,non,non,1823,marié,,0.54,2024-10-14,,,
Gonzalez,Donna,62,173.8,88.0,F,non,aucun,Hauts-de-France,oui,oui,4270,célibataire,0.0,0.18,2022-01-15,493.0,,
Rich,Susan,32,155.9,62.1,H,non,bac+2,Bretagne,oui,oui,1795,marié,,0.1,2022-09-11,354.0,10000.0,40000.0
Schultz,Matthew,61,179.4,60.5,F,oui,aucun,Corse,oui,oui,2254,veuf,3.0,0.14,2020-12-25,,10000.0,
Blackwell,Tracey,67,157.7,62.3,H,non,bac+2,Bretagne,oui,oui,4770,veuf,4.0,0.53,2022-04-10,,10000.0,
Clark,Stephanie,46,170.9,46.5,H,oui,aucun,Hauts-de-France,oui,non,3362,marié,,0.4,2025-01-03,,5000.0,
Durham,Kevin,42,167.3,69.6,H,oui,master,Normandie,oui,oui,5043,marié,4.0,0.63,2022-08-13,,10000.0,
Lambert,Mercedes,35,166.6,62.1,H,oui,aucun,Hauts-de-France,non,oui,3339,divorcé,3.0,0.48,2021-09-30,376.0,10000.0,40000.0
Hill,Randy,23,166.3,63.7,H,oui,master,Corse,oui,oui,2792,célibataire,,0.81,2023-11-10,,,
Villegas,James,70,157.7,71.1,F,non,bac+2,Hauts-de-France,oui,non,1684,,,0.44,2021-02-27,,10000.0,
Gonzales,Michael,40,171.2,72.3,F,oui,aucun,Occitanie,oui,oui,2774,,1.0,0.12,2020-03-28,848.0,10000.0,40000.0
Bowman,Nicole,39,184.4,66.9,F,oui,master,Bretagne,oui,oui,3169,marié,4.0,0.25,2021-06-09,379.0,5000.0,40000.0
Moran,Dana,70,187.1,77.7,H,non,bac,Normandie,oui,non,848,,,0.41,2020-06-20,499.0,1074.45,40000.0
Davis,James,28,171.2,73.7,H,oui,master,Occitanie,non,oui,3157,divorcé,5.0,0.97,2022-06-27,,5000.0,
Martinez,Paula,19,174.2,75.9,H,oui,doctorat,Auvergne-Rhône-Alpes,non,non,1194,divorcé,4.0,0.28,2022-01-16,434.0,10000.0,40000.0
